Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0.15,-0.142296911,0.92,0.13,0.31,-0.06,16.60665315,0
0.09,-0.124938415,0.39,0.23,0.54,0.53,16.41673094,0
0.13,-0.108823619,0.28,0.08,0.89,0.63,17.83686174,0
0.22,-0.144180228,0.78,0.08,0.25,0.04,16.12834584,0
0.08,-0.098998391,0.41,0.21,0.24,0.52,16.17200867,0
0.26,-0.142314678,0.54,0.24,0.3,0.17,16.98405919,0
0.31,-0.14664986,0.8,0.08,0.27,0.12,16.38985724,0
0.16,-0.137482016,0.73,0.09,0.55,0.22,17.13657099,0
0.07,-0.037861663,0.27,0.62,0.28,0.66,16.11558821,0
0.18,-0.145548297,0.74,0.16,0.49,0.04,16.93067047,0
0.08,-0.14124865,0.69,0.07,0.43,0.21,15.90398097,0
0.06,-0.135705302,0.57,0.29,0.42,0.35,16.85753106,0
0.17,-0.070126789,0.28,0.12,0.42,0.71,16.34530469,0
0.21,-0.1418705,0.43,0.05,0.54,0.22,18.19376535,0
0.1,-0.142954295,0.74,0.07,0.36,0.11,16.11296139,0
0.02,-0.100473064,0.33,0.06,1.05,0.66,16.00004856,0
0.24,-0.14149739,0.63,0.08,0.3,0.1,17.07989173,0
0.27,-0.142883227,0.67,0.2,1.03,0.29,18.63561688,0
0.1,-0.1381394,0.52,0.65,0.68,0.11,20.89669662,0
0.03,-0.148568711,0.87,0.01,0.44,-0.04,16.31170723,0
0.07,-0.134461602,0.48,0.16,0.26,0.41,16.02650555,0
0.09,-0.137659687,0.77,0.11,0.69,-0.19,16.17119063,0
0.09,0.134390757,0.28,0.5,0.76,0.51,17.18595542,0
0.08,-0.143824885,0.91,0.02,0.31,0,16.16828056,0
0.08,-0.148586478,0.59,0.77,0.21,0.31,16.64350714,0
0.12,-0.141301951,0.38,0.14,0.48,0.49,16.1280643,0
0.12,-0.143149734,0.64,0.07,1.12,0.31,17.8255419,0
0.13,-0.125187155,0.62,0.69,0.29,0.34,16.7365508,0
0.05,-0.139276497,0.7,0.25,0.54,0.16,18.09785788,0
0.07,-0.10459504,0.8,0.18,0.69,0.17,17.84531651,0
0.01,-0.104257465,0.09,0.81,0.64,0.34,15.95294172,0
0.18,-0.012632325,0.16,0.19,0.66,0.71,17.1118935,0
0.14,-0.146063545,0.7,0.03,0.43,0.07,16.99447472,0
0.09,-0.039904884,0.5,0.15,1.99,0.32,16.39235671,0
0,-0.150558631,0.53,0,0.33,0.37,15.91345584,0
0.18,-0.142439048,0.72,0.11,0.49,-0.26,16.58079561,0
0.14,0.165021306,0.3,0.02,0.76,0.68,16.28121927,0
0.26,-0.143007596,0.65,0.16,0.34,0.14,16.07863918,0
0.3,-0.13851251,0.79,0.01,0.41,0.17,16.57088973,0
0.03,15.64371797,0.23,0.59,0.16,0.7,16.79348479,0
0.02,-0.147307244,0.78,0.06,0.33,0.14,16.0374388,0
0.05,-0.116676695,0.81,0.13,0.29,0.15,17.26708009,0
0.06,-0.108219537,0.59,0.01,0.86,0.35,15.93389321,0
0.06,-0.14714734,0.74,0.65,0.65,0.04,16.03260944,0
0.38,-0.146099079,0.83,0.39,0.13,0.09,16.32906378,0
0.02,-0.115521831,0.55,0.8,0.28,0.44,18.34347031,0
0.04,-0.142385747,0.78,0,0.41,0.07,19.3836547,0
0.13,-0.137446482,0.26,0.66,0.55,0.65,16.28522903,0
0.05,-0.139187661,0.6,0.31,0.46,0.19,17.66788022,0
0.01,-0.137322112,0.14,0.03,0.73,0.46,16.30928015,0
0.01,-0.133306738,0.6,0.01,0.73,0.27,16.12476903,0
0.03,-0.089048793,0.2,0.24,1.21,0.78,17.69436121,0
0.18,-0.140449128,0.58,0.07,0.24,0.05,17.8829073,0
0.06,-0.144748776,0.79,0.26,0.26,0.19,16.20165184,0
0.02,-0.110706936,0.64,0.36,1.06,0.28,16.01705468,0
0.1,-0.134461602,0.42,0.1,0.99,0.34,17.26285108,0
0.05,-0.06316207,0.31,0.21,0.69,0.47,16.68500773,0
0.12,-0.141088745,0.77,0.06,0.8,0.02,16.06243409,0
0.04,-0.130641667,0.54,0.02,0.94,0.4,16.45016894,0
0.12,-0.121633727,0.51,0.3,1.27,0.27,15.98216699,0
0.03,-0.137943962,0.38,0.63,1.19,0.65,17.23220993,0
0.04,0.111808723,0.54,0.13,0.44,0.43,16.05401153,0
0.39,-0.101965504,0.22,0.36,0.17,0.18,18.11664994,0
0.2,-0.143203035,0.58,0.02,0.43,-0.1,17.60101712,0
0.08,1.04410385,0.4,0.68,1.6,0.56,16.35202625,0
0.15,-0.146223449,0.81,0.11,0.28,0.08,16.03866048,0
0.35,-0.150611932,0.38,0.08,0.13,-0.04,16.39706467,0
0.03,-0.14465994,0.34,0.8,0.62,0.42,19.11103885,0
0.08,0.575762044,0.17,0.7,0.37,0.81,15.93494139,0
0.05,0.012170603,0.15,0.46,0.26,0.58,18.38922692,0
