,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1
41,1,train,0.11,-0.147573751,0.77,0.13,0.23,0.11,16.38307971,0,True,0.5146187626107956,0.4853812373892044,0.47096053776871794,0.5290394622312821,0.511433369735754,0.488566630264246,0.3855927703092473,0.6144072296907527,0.46546854108689817,0.5345314589131018,0.5093540384673206,0.49064596153267936
42,1,train,0.09,-0.138832319,0.45,0.13,0.53,0.31,18.83542058,0,False,0.5333630303343155,0.4666369696656845,0.47406576453745597,0.525934235462544,0.5260442331775808,0.4739557668224192,0.3848068476894769,0.6151931523105231,0.4780045350585743,0.5219954649414257,0.5100764449728818,0.48992355502711815
43,1,train,0.04,-0.147378313,0.87,0.05,0.25,0.0,16.22818329,0,True,0.5091212231751672,0.4908787768248329,0.4701876883796877,0.5298123116203123,0.5042370220032972,0.4957629779967027,0.38581568911025677,0.6141843108897432,0.4643444326984951,0.5356555673015049,0.5093209899954121,0.4906790100045879
44,1,train,0.16,-0.13174323,0.44,0.08,0.52,0.31,17.49345504,0,False,0.5310722645015793,0.4689277354984207,0.47275793124475995,0.52724206875524,0.5295617179661023,0.47043828203389776,0.38577125003415436,0.6142287499658456,0.47683245636764615,0.5231675436323538,0.509685800693152,0.49031419930684805
45,1,train,0.06,-0.018317809,0.32,0.59,0.42,0.53,16.42598079,0,False,0.5415197060135878,0.4584802939864122,0.47274686672611965,0.5272531332738803,0.5496624657546174,0.4503375342453826,0.3855349886505034,0.6144650113494966,0.48003474168475757,0.5199652583152424,0.5094897709244032,0.4905102290755968
46,1,train,0.66,-0.141586225,0.69,0.01,0.24,0.08,17.34900268,0,True,0.5174946203315355,0.4825053796684645,0.4731983566261707,0.5268016433738293,0.5104630608221912,0.4895369391778089,0.3847927634073186,0.6152072365926814,0.45996732413143415,0.5400326758685658,0.509883062755837,0.49011693724416305
47,1,train,0.03,-0.145832572,0.84,0.12,0.23,0.04,16.41898653,0,True,0.5114530266750327,0.4885469733249673,0.47067422590073615,0.5293257740992638,0.5064962357978195,0.4935037642021804,0.38548662979145776,0.6145133702085422,0.4649092317639375,0.5350907682360625,0.5093810554458069,0.49061894455419314
48,1,train,0.24,-0.141408554,0.59,0.14,0.41,0.05,17.7006449,0,False,0.5232861800670514,0.4767138199329486,0.4731379815195277,0.5268620184804723,0.5143619272611076,0.48563807273889237,0.383989978165176,0.616010021834824,0.46842142346271054,0.5315785765372895,0.5099174285757302,0.4900825714242698
49,1,train,0.07,-0.130286324,0.88,0.32,0.26,0.0,15.98486696,0,True,0.5133757617945766,0.48662423820542344,0.4702946434007005,0.5297053565992995,0.5071486525989942,0.4928513474010058,0.38497643191629716,0.6150235680837028,0.4631609172769082,0.5368390827230918,0.5095285737538127,0.4904714262461874
50,1,train,0.28,-0.14888852,0.94,0.03,0.32,-0.01,16.37922323,0,True,0.5094354406170234,0.49056455938297655,0.47042124597855695,0.529578754021443,0.501795491372516,0.49820450862748406,0.386085443935427,0.613914556064573,0.4617336310321589,0.5382663689678411,0.5096503264663697,0.4903496735336303
51,1,train,0.11,-0.139969416,0.44,0.06,0.72,0.34,16.21718468,0,False,0.5329418238852266,0.4670581761147734,0.47069351318834207,0.5293064868116579,0.5355435860558438,0.46445641394415615,0.38735373087335323,0.6126462691266468,0.4809928503621195,0.5190071496378805,0.5094208020764894,0.4905791979235105
52,1,train,0.06,-0.149545904,0.74,0.12,0.15,-0.05,16.42495795,0,True,0.5110335907242332,0.4889664092757669,0.4712648054228288,0.5287351945771712,0.5064244553718052,0.49357554462819475,0.38428349392001837,0.6157165060799816,0.4629381436407244,0.5370618563592756,0.5092706061457958,0.4907293938542042
53,1,train,0.24,-0.148213368,0.73,0.5,0.21,0.12,16.24169905,0,False,0.5219810886098402,0.4780189113901599,0.4716870155407692,0.5283129844592308,0.5168187819050332,0.4831812180949668,0.3839479903894907,0.6160520096105093,0.4627454907050369,0.5372545092949631,0.5096573848795444,0.4903426151204556
54,1,train,0.02,-0.144695475,0.56,0.35,0.33,0.22,16.03507474,0,False,0.5258581613892894,0.47414183861071063,0.4711425492825646,0.5288574507174354,0.5264975582267557,0.47350244177324424,0.3850249347461613,0.6149750652538387,0.47121314072837917,0.5287868592716208,0.5092665679075433,0.4907334320924567
55,1,train,0.15,-0.007906265,0.27,0.17,0.25,0.36,17.77053479,0,False,0.5321175267349356,0.4678824732650643,0.47428039573547853,0.5257196042645215,0.5367588084215151,0.4632411915784848,0.384783004208036,0.615216995791964,0.47576914088787015,0.5242308591121299,0.5095031823897647,0.49049681761023534
56,1,train,0.2,-0.14702297,0.56,0.05,0.65,0.47,17.43423597,0,False,0.5328272575133179,0.467172742486682,0.4720130538178181,0.5279869461821819,0.5314328982114622,0.4685671017885377,0.38775658015334247,0.6122434198466575,0.4796217802842907,0.5203782197157093,0.5098150832004179,0.4901849167995821
57,1,train,0.12,-0.147982396,0.39,0.37,0.1,0.01,17.92665001,0,False,0.5254576594570634,0.47454234054293665,0.4746624768669925,0.5253375231330075,0.5188799536358268,0.48112004636417316,0.38128417043354956,0.6187158295664504,0.4655283268787539,0.5344716731212461,0.5096900638521573,0.49030993614784263
